2021-05-03 03:07:51,978: 	 --> [DEBUG] 	 In 2001 there's an empty value for EST
2021-05-03 03:07:52,002: 	 --> [DEBUG] 	 In 2019 there's an empty value for EST
2021-05-03 03:07:52,002: 	 --> [DEBUG] 	 In 2020 there's an empty value for EST
2021-05-03 03:07:52,002: 	 --> [INFO] 	 Chosen country: LTU
2021-05-03 03:07:52,004: 	 --> [INFO] 	 Chosen country years limits: 2004 - 2019
2021-05-03 03:07:52,004: 	 --> [DEBUG] 	 In 1990 there's an empty value for LTU
2021-05-03 03:07:52,004: 	 --> [DEBUG] 	 In 1991 there's an empty value for LTU
2021-05-03 03:07:52,005: 	 --> [DEBUG] 	 In 1992 there's an empty value for LTU
2021-05-03 03:07:52,005: 	 --> [DEBUG] 	 In 1993 there's an empty value for LTU
2021-05-03 03:07:52,005: 	 --> [DEBUG] 	 In 1994 there's an empty value for LTU
2021-05-03 03:07:52,005: 	 --> [DEBUG] 	 In 1995 there's an empty value for LTU
2021-05-03 03:07:52,006: 	 --> [DEBUG] 	 In 1996 there's an empty value for LTU
2021-05-03 03:07:52,006: 	 --> [DEBUG] 	 In 1997 there's an empty value for LTU
2021-05-03 03:07:52,006: 	 --> [DEBUG] 	 In 1998 there's an empty value for LTU
2021-05-03 03:07:52,006: 	 --> [DEBUG] 	 In 1999 there's an empty value for LTU
2021-05-03 03:07:52,007: 	 --> [DEBUG] 	 In 2000 there's an empty value for LTU
2021-05-03 03:07:52,007: 	 --> [DEBUG] 	 In 2001 there's an empty value for LTU
2021-05-03 03:07:52,007: 	 --> [DEBUG] 	 In 2002 there's an empty value for LTU
2021-05-03 03:07:52,007: 	 --> [DEBUG] 	 In 2003 there's an empty value for LTU
2021-05-03 03:07:52,030: 	 --> [DEBUG] 	 In 2020 there's an empty value for LTU
2021-05-03 03:07:52,031: 	 --> [INFO] 	 Chosen country: POL
2021-05-03 03:07:52,032: 	 --> [INFO] 	 Chosen country years limits: 2004 - 2018
2021-05-03 03:07:52,033: 	 --> [DEBUG] 	 In 1990 there's an empty value for POL
2021-05-03 03:07:52,033: 	 --> [DEBUG] 	 In 1991 there's an empty value for POL
2021-05-03 03:07:52,034: 	 --> [DEBUG] 	 In 1992 there's an empty value for POL
2021-05-03 03:07:52,034: 	 --> [DEBUG] 	 In 1993 there's an empty value for POL
2021-05-03 03:07:52,034: 	 --> [DEBUG] 	 In 1994 there's an empty value for POL
2021-05-03 03:07:52,035: 	 --> [DEBUG] 	 In 1995 there's an empty value for POL
2021-05-03 03:07:52,035: 	 --> [DEBUG] 	 In 1996 there's an empty value for POL
2021-05-03 03:07:52,035: 	 --> [DEBUG] 	 In 1997 there's an empty value for POL
2021-05-03 03:07:52,036: 	 --> [DEBUG] 	 In 1998 there's an empty value for POL
2021-05-03 03:07:52,036: 	 --> [DEBUG] 	 In 1999 there's an empty value for POL
2021-05-03 03:07:52,036: 	 --> [DEBUG] 	 In 2000 there's an empty value for POL
2021-05-03 03:07:52,036: 	 --> [DEBUG] 	 In 2001 there's an empty value for POL
2021-05-03 03:07:52,036: 	 --> [DEBUG] 	 In 2002 there's an empty value for POL
2021-05-03 03:07:52,037: 	 --> [DEBUG] 	 In 2003 there's an empty value for POL
2021-05-03 03:07:52,046: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:52,048: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:52,050: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:52,059: 	 --> [DEBUG] 	 In 2019 there's an empty value for POL
2021-05-03 03:07:52,060: 	 --> [DEBUG] 	 In 2020 there's an empty value for POL
2021-05-03 03:07:52,060: 	 --> [INFO] 	 Chosen country: HUN
2021-05-03 03:07:52,061: 	 --> [INFO] 	 Chosen country years limits: 2005 - 2019
2021-05-03 03:07:52,062: 	 --> [DEBUG] 	 In 1990 there's an empty value for HUN
2021-05-03 03:07:52,062: 	 --> [DEBUG] 	 In 1991 there's an empty value for HUN
2021-05-03 03:07:52,062: 	 --> [DEBUG] 	 In 1992 there's an empty value for HUN
2021-05-03 03:07:52,062: 	 --> [DEBUG] 	 In 1993 there's an empty value for HUN
2021-05-03 03:07:52,063: 	 --> [DEBUG] 	 In 1994 there's an empty value for HUN
2021-05-03 03:07:52,063: 	 --> [DEBUG] 	 In 1995 there's an empty value for HUN
2021-05-03 03:07:52,063: 	 --> [DEBUG] 	 In 1996 there's an empty value for HUN
2021-05-03 03:07:52,063: 	 --> [DEBUG] 	 In 1997 there's an empty value for HUN
2021-05-03 03:07:52,063: 	 --> [DEBUG] 	 In 1998 there's an empty value for HUN
2021-05-03 03:07:52,064: 	 --> [DEBUG] 	 In 1999 there's an empty value for HUN
